"";"hashed_id";"profession_declaree";"profession_recode"
"1514";7928;"Gestionnaire technique de site";"Gestionnaire de site internet"
"1515";9653;"Clerc";"Clerc de notaire"
"1516";9915;"Chauffeur poids lourds (PL)";"Chauffeur poids lourds (PL)"
"1517";2579;"Technicienne de gestion commerciale";"Technicienne de gestion commerciale"
"1518";8487;"Chef de projet digital";"Chef de projet digital"
"1519";9019;"Chargée d'administration commerciale";"Chargée d'administration commerciale"
"1520";3445;"Research analyst senior";"Analyste financier"
"1521";8175;"Maître de conférences";"Maître de conférences (MCF)"
"1522";7095;"Femme de ménage de bureaux ou de locaux";"Femme de ménage de bureaux ou de locaux"
"1523";3853;"Serveuse de café, bar, hôtel";"Serveuse de café, bar, hôtel"
"1524";815;"Vendeuse en alimentation";"Vendeuse en alimentation"
"1525";2172;"Aide soignante";"Aide-soignante"
"1526";1569;"Business Analyst";"Business analyst"
"1527";3795;"Enseignant en lycée professionnel (PLP)";"Enseignant en lycée professionnel (PLP)"
"1528";2525;"Assistante administrative d'entreprise";"Assistante administrative d'entreprise"
"1529";1566;"Employee Banque";"Employée de banque"
"1530";5362;"Responsable Qualité";"Responsable qualité"
"1531";497;"Assistante de conservation du patrimoine et des bibliothèques";"Assistante de conservation du patrimoine et des bibliothèques"
"1532";4285;"Professeur d’EPS";"Professeur d'éducation physique et sportive (PEPS)"
"1533";10249;"Administrateur Systèmes et bases de données";"Administrateur base de données"
"1534";8426;"Vendeur";"Vendeur de meubles"
"1535";7836;"Responsable commercial";"Responsable commercial"
"1536";3978;"Conseillère principale d'éducation (CPE)";"Conseillère principale d'éducation (CPE)"
"1537";4668;"Mécanicien soudeur";"Monteur soudeur en mécanique"
"1538";2687;"Enseignant chercheur (professeur des universités)";"Enseignant chercheur (professeur des universités)"
"1539";9944;"Commercant";"Gérant de commerce en habillement"
"1540";7159;"RRH";"Chargé d'études en ressources humaines (RH)"
"1541";4760;"Employé logistique polyvalent";"Agent logistique"
"1542";2045;"Agent de comptabilité de la fonction publique";"Agent de comptabilité de la fonction publique"
"1543";662;"Journaliste spécialisée";"Journaliste spécialisée"
"1544";6940;"Chef projet recherche pharmaceutique";"Chef de projet de recherche clinique"
"1545";1861;"Auto entrepreneur";NA
"1546";1572;"Administrateur de société";"Administrateur de société"
"1547";4507;"Régleuse en horlogerie";"Régleuse en horlogerie"
"1548";4122;"Inspecteur des assurances";"Inspecteur des assurances"
"1549";3028;"Exploitant agricole en viticulture";"Exploitant agricole en viticulture"
"1550";4412;"Chargé de production tourisme";"Chargé de mission tourisme"
"1551";5427;"Secrétaire administrative d'entreprise";"Secrétaire administrative d'entreprise"
"1552";6141;"Directeur général d'entreprise de l'industrie";"Directeur général d'entreprise de l'industrie"
"1553";4792;"Auto-entrepreneur";NA
"1554";4009;"Artisan du bâtiment";"Artisan du bâtiment"
"1555";5661;"Ingénieur d'affaires";"Ingénieur d'affaires"
"1556";9349;"Consultant formateur";"Consultant formateur"
"1557";5292;"Formatrice pour adulte";"Formatrice pour adulte"
"1558";8736;"Manipulatrice en électroradiologie";"Manipulatrice en électroradiologie"
"1559";4690;"Etudiant medecin";NA
"1560";1453;"Infirmiere liberale";"Infirmier"
"1561";7015;"Opticien-lunetier";"Opticien-lunetier"
"1562";2128;"Chef de car audiovisuel";"Chef de car audiovisuel"
"1563";1074;"Cadre";NA
"1564";2724;"Commerciale";"Représentant auprès de particuliers"
"1565";3561;"Opticienne-optométriste";"Opticienne-optométriste"
"1566";4400;"Assistant administratif d'entreprise";"Assistant administratif d'entreprise"
"1567";7069;"Cuisiniste";"Cuisiniste"
"1568";6210;"Ashq";"Agente de service hospitalier qualifiée (ASHQ)"
"1569";4653;"Avocate";"Avocate"
"1570";7684;"Cadre commercial de l'industrie";"Cadre commercial de l'industrie"
"1571";9580;"Développeur full-stack";"Développeur full-stack"
"1572";7114;"Artisan du bâtiment";"Artisan du bâtiment"
"1573";241;"Vendeur de matériaux de construction";"Vendeur de matériaux de construction"
"1574";1381;"Assistante de gestion administrative";"Assistante de gestion administrative"
"1575";8404;"Adjoint a la directrice";"Assistant de direction d'entreprise"
"1576";6193;"Directeur Villages Vacances";"Directeur centre de vacances"
"1577";4844;"FONCTIO";NA
"1578";2816;"Éducatrice de jeunes enfants (EJE)";"Éducatrice de jeunes enfants (EJE)"
"1579";722;"Gestionnaire sinistre";"Gestionnaire sinistre"
"1580";4556;"Chef de projet informatique";"Chef de projet informatique"
"1581";3774;"Cadre administrative des collectivités territoriales";"Cadre administrative des collectivités territoriales"
"1582";8804;"Infirmière anesthésiste";"Infirmière anesthésiste"
"1583";2417;"Directrice juridique";"Directrice juridique"
"1584";811;"Infirmière";"Infirmière"
"1585";5868;"Ingénieur des travaux de la météorologie (ITM)";"Ingénieur des travaux de la météorologie (ITM)"
"1586";9255;"Chargée de mission enseignement";"Chargée de mission patrimoine culturel"
"1587";5217;"Chargée webmarketing";"Chargée d'études marketing"
"1588";10225;"Artisan électricien du bâtiment";"Artisan électricien du bâtiment"
"1589";8124;"Cadre commercial du BTP";"Cadre commercial du BTP"
"1590";15;"Archiviste paléographe";"Archiviste paléographe"
"1591";9172;"Infirmière";"Infirmière"
"1592";4698;"Responsable business";NA
"1593";8161;"Auto-entrepreneur";NA
"1594";3739;"Développeur back-end";"Développeur back-end"
"1595";3914;"Préparateur de commandes livreur";"Préparateur de commandes"
"1596";1508;"Inspecteur de l'éducation nationale (IEN)";"Inspecteur de l'éducation nationale (IEN)"
"1597";9864;"Secrétaire administrative d'entreprise";"Secrétaire administrative d'entreprise"
"1598";8599;"Cadre commercial du BTP";"Cadre commercial du BTP"
"1599";2146;"Responsable production";"Responsable de production industrielle"
"1600";3089;"Menuisier du bâtiment";"Menuisier du bâtiment"
"1601";134;"Pharmacienne biologiste (laboratoire d'analyse)";"Pharmacienne biologiste (laboratoire d'analyse)"
"1602";9830;"Agent de police judiciaire (police nationale)";"Agent de police judiciaire (police nationale)"
