"";"dz_name.x";"diff_raw";"factor_raw";"diff";"factor"
"98";"Fazıl Say";0;0;-543;-0,328361217496472
"99";"William Christie";0;0;-282;-0,175376250466426
"100";"Maria João Pires";0;0;-187;-0,116692667706708
"101";"Vanessa Wagner";0;0;-10;-0,00638841567291313
"102";"Sir Neville Marriner";0;0;-62;-0,0399737499568255
"103";"Hania Rani";0;0;-20;-0,0131093097948393
"104";"Valentina Lisitsa";0;0;-27;-0,0179342411159083
"105";"Stéphane Blet";0;0;-151;-0,101820633850303
"106";"Christian-Pierre La Marca";0;0;-100;-0,068744271310724
"107";"Bertrand Chamayou";0;0;-313;-0,227834699076882
"108";"Anne Queffélec";0;0;-237;-0,172530939092453
"109";"Inger Södergren";0;0;-11;-0,00825206301575394
"110";"Nemanja Radulovic";0;0;-8;-0,0060388614458727
"111";"Thomas Enhco";0;0;-106;-0,0815071126489812
"112";"Lorin Maazel";0;0;-157;-0,121289710240096
"113";"Boston Symphony Orchestra";0;0;-73;-0,0566711520546529
"114";"Florian Christl";0;0;-216;-0,169989506820566
"115";"Natalie Dessay";0;0;-197;-0,159461856386039
"116";"Michel Plasson";0;0;-348;-0,284771282834621
"117";"Hélène Grimaud";0;0;-233;-0,192734541945267
"118";"Lavinia Meijer";0;0;-12;-0,0102055279943303
"119";"Claudio Abbado";0;0;-162;-0,140036527077375
"120";"IGOR LEVIT";0;0;-180;-0,155844155844156
"121";"L'Orchestre National du Bolchoï";0;0;-330;-0,2864334693169
"122";"Guillaume Ferran";0;0;-358;-0,317375886524823
"123";"Eric Le Sage";0;0;-49;-0,0436629340303563
"124";"Itzhak Perlman";0;0;-223;-0,1999103541013
"125";"Esther Abrami";0;0;-73;-0,0664643399089532
"126";"Jan Lisiecki";0;0;-32;-0,0297144625860867
"127";"Claudio Arrau";0;0;-65;-0,0609422611141497
"128";"Academy Of St Martin In The Fields";0;0;-70;-0,0661721301236331
"129";"English Baroque Soloists";0;0;-132;-0,126561617176219
"130";"Konzerthaus Kammerorchester Berlin";0;0;-187;-0,18160335367334
"131";"Alice Sara Ott";0;0;-266;-0,258629071463296
"132";"Tina Guo";0;0;-12;-0,0116959064327485
"133";"Alfred Brendel";0;0;-77;-0,0757004751761426
"134";"André de Ridder";0;0;-187;-0,183955535881167
"135";"Mstislav Rostropovich";0;0;-387;-0,385541368489217
"136";"Wilhelm Kempff";0;0;-71;-0,0723812760173307
"137";"Laurence Equilbey";0;0;-207;-0,212087576995792
"138";"Karl Böhm";0;0;-73;-0,0751076428876361
"139";"Ben Kim";0;0;-30;-0,0316789862724393
"140";"Philharmonia Orchestra";0;0;-89;-0,0942691502982609
"141";"James Levine";0;0;-70;-0,0742400397284218
"142";"Lucas Debargue";0;0;-89;-0,0951362907536077
"143";"Nikolaus Harnoncourt";0;0;-271;-0,298348623853211
"144";"Roberto Alagna";0;0;-16;-0,0177631875623218
"145";"Christina Pluhar";0;0;-60;-0,0671015843429636
"146";"Riccardo Muti";0;0;-243;-0,27562850915926
"147";"Patricia Petibon";0;0;-8;-0,00932491500728509
"148";"Leif Ove Andsnes";0;0;-233;-0,283742642581693
"149";"Seiji Ozawa";0;0;-85;-0,107220193837292
"150";"Chineke! Orchestra";0;0;-80;-0,103225806451613
"151";"Sir Thomas Beecham";0;0;-240;-0,310337183813207
"152";"Shani Diluka";0;0;-61;-0,0800787659993436
"153";"Zubin Mehta";0;0;-71;-0,0940811731436426
"154";"Vladimir Ashkenazy";0;0;-38;-0,0507795100222717
"155";"André Previn";0;0;-222;-0,2981525351013
"156";"les Arts Florissants";0;0;-45;-0,0614148818982072
"157";"Julia Gjertsen";0;0;-252;-0,352447552447552
"158";"Montserrat Caballé";0;0;-26;-0,0364879156055451
"159";"Murray Perahia";0;0;-222;-0,314150943396226
"160";"Rafael Kubelik";0;0;-6;-0,00851074368814654
"161";"Richard Bonynge";0;0;-7;-0,0100588534161611
"162";"Chicago Symphony Orchestra";0;0;-24;-0,0346998931913773
"163";"Fabio Biondi";0;0;-191;-0,276224450443502
"164";"Sir Georg Solti";0;0;-67;-0,100979745422393
"165";"Teodor Currentzis";0;0;-147;-0,222054380664653
"166";"Thibaut Garcia";0;0;-53;-0,0801209372637944
"167";"Karl Richter";0;0;-72;-0,109404282106756
"168";"Orpheus Chamber Orchestra";0;0;-35;-0,0534242393405923
"169";"Samson François";0;0;-20;-0,0307455803228286
"170";"Nelson Freire";0;0;-14;-0,0223687973030636
"171";"Martin Fröst";0;0;-139;-0,22228144989339
"172";"Yuja Wang";0;0;-8;-0,01280463405804
"173";"Plácido Domingo";0;0;-11;-0,0178087129764847
"174";"Chorus";0;0;-107;-0,174819598156108
"175";"Anne-Sophie Mutter";0;0;-156;-0,266704658783302
"176";"Vladimir Horowitz";0;0;-32;-0,0550143266475644
"177";"Joshua Bell";0;0;-50;-0,0860215053763441
"178";"English Chamber Orchestra";0;0;-36;-0,0620303875053077
"179";"Christoph Eschenbach";0;0;-200;-0,345582306185923
"180";"Brigitte Engerer";0;0;-191;-0,331634234971661
"181";"I Virtuosi Italiani";0;0;-7;-0,0121615752135515
"182";"Europa Galante";0;0;-169;-0,297116736990155
"183";"Trevor Pinnock";0;0;-28;-0,0492738806532979
"184";"Elisabeth Leonskaja";0;0;-169;-0,298059964726631
"185";"Maurizio Pollini";0;0;-14;-0,0247169190520901
"186";"Orchestre de Chambre National de Toulouse";0;0;-179;-0,317497856741656
"187";"Philippe Cassard";0;0;-191;-0,343370786516854
"188";"Milos Karadaglic";0;0;-20;-0,0360252176523566
"189";"Alain Moglia";0;0;-175;-0,321425291578657
"190";"Eugene Ormandy";0;0;-30;-0,0553607676693117
"191";"Iyad Sughayer";0;0;-73;-0,135645710746361
"192";"Jean-François Paillard";0;0;-77;-0,145000313853493
"193";"The Philadelphia Orchestra";0;0;-12;-0,0228096615209156
"194";"Carlo Maria Giulini";0;0;-38;-0,0722616087565133
"195";"Münchener Bach-Orchester";0;0;-54;-0,102786753742335
"196";"Zhu Xiao-Mei";0;0;-89;-0,170334928229665
"197";"Jean Rondeau";0;0;-89;-0,170989433237272
"198";"Il Giardino Armonico";0;0;-110;-0,211558803731128
"199";"YUNDI";0;0;-75;-0,144508670520231
"200";"Luka Sulic";0;0;-159;-0,30635838150289
"201";"Monteverdi Choir";0;0;-44;-0,0852752512659073
"202";"Vassilena Serafimova";0;0;-106;-0,205758654157231
"203";"Roger Eno";0;0;-7;-0,0136164694439942
"204";"Edgar Moreau";0;0;-20;-0,0390648120745783
"205";"Jean-Marc Luisada";0;0;-8;-0,0157946692991115
"206";"Simon Ghraichy";0;0;-132;-0,262948207171315
"207";"JB Dunckel";0;0;-17;-0,034136546184739
"208";"Sabine Devieilhe";0;0;-94;-0,189430197994861
"209";"The English Concert";0;0;-28;-0,0565178107999
"210";"Riccardo Chailly";0;0;-66;-0,134242587314695
"211";"Mozart";0;0;-25;-0,0511113887532228
"212";"Elsa Dreisig";0;0;-164;-0,341015421937272
"213";"Reinhard Goebel";0;0;-69;-0,143799930531435
"214";"François Lazarevitch";0;0;-38;-0,0795117698343504
"215";"Raphaela Gromes";0;0;-12;-0,0253878702397743
"216";"Mari Samuelsen";0;0;-14;-0,030002143010215
"217";"Choir of King's College, Cambridge";0;0;-30;-0,064892823836188
"218";"Yannick Nézet-Séguin";0;0;-17;-0,0369152789491256
"219";"Les Musiciens de Saint-Julien";0;0;-29;-0,063399526325378
"220";"Accentus";0;0;-10;-0,0219610905250095
"221";"Aurélien Pontier";0;0;-120;-0,269360269360269
"222";"Raphael Alpermann";0;0;-77;-0,174345261841353
"223";"Georges Prêtre";0;0;-155;-0,35576297769787
"224";"Nikolai Lugansky";0;0;-54;-0,124042879019908
"225";"Sol Gabetta";0;0;-71;-0,163560372535899
"226";"Barbara Hendricks";0;0;-35;-0,0813209499514061
"227";"Le Concert des Nations";0;0;-37;-0,0860065086006509
"228";"William Fred Scott";0;0;-107;-0,249417249417249
"229";"The Atlanta Opera Orchestra";0;0;-107;-0,249417249417249
"230";"Antonio Pappano";0;0;-150;-0,34966928585052
"231";"Charles Dutoit";0;0;-67;-0,156301638834348
"232";"Wiener Staatsopernchor";0;0;-6;-0,0143933674519214
"233";"Paavo Järvi";0;0;-9;-0,0216441540743116
"234";"Nathalie Stutzmann";0;0;-31;-0,074745674476377
"235";"Musica Antiqua Köln";0;0;-34;-0,0832449196115238
"236";"Maurice Andre";0;0;-6;-0,0148053275678724
"237";"Scott Ross";0;0;-155;-0,384615384615385
"238";"Alessandra Celletti";0;0;-36;-0,091254752851711
"239";"Jonas Kaufmann";0;0;-70;-0,179594629265372
"240";"Elena Urioste";0;0;-67;-0,174934725848564
"241";"Valérie Duchateau";0;0;-221;-0,577023498694517
"242";"Amy Dickson";0;0;-12;-0,031496062992126
"243";"Daniil Trifonov";0;0;-21;-0,0554821664464993
"244";"Daniel Varsano";0;0;-168;-0,452830188679245
"245";"Andreas Scholl";0;0;-7;-0,0190697754869063
"246";"Nigel Kennedy";0;0;-143;-0,391459074733096
"247";"Kurt Redel";0;0;-14;-0,0385905269444572
"248";"Julian Riem";0;0;-11;-0,0311909262759924
"249";"Academy Of Ancient Music";0;0;-48;-0,136153659129589
"250";"Diego Fasolis";0;0;-14;-0,040085761714689
"251";"András Schiff";0;0;-57;-0,165521246733133
"252";"Cecilia Bartoli";0;0;-21;-0,0611840648997577
"253";"Renée Fleming";0;0;-16;-0,0468619246861925
